likelihood0_means,likelihood0_stds,likelihood1_means,likelihood1_stds,log_ratio_means,log_ratio_stds,powers
-723.188544521698,22.98457809294102,-333.3965681403942,4.934328816376113,6.6562429187308485,0.07077668697305879,1.0
-730.9220835584991,23.69140804556545,-331.9635770157128,5.196992382791219,6.679418315694362,0.071782937940243,1.0
-743.3511780284915,25.83743055154823,-329.1751000201419,6.253535815268767,6.716426517334009,0.07780969157371188,1.0
-749.5718414894665,23.898141565906894,-327.8321930212953,6.163394152402212,6.734986134012075,0.07153428946322458,1.0
-766.5100177293895,21.86494238580644,-323.35251939375615,6.079983074851503,6.78510237805807,0.06269074821638439,1.0
-775.2983194333542,21.700569582797723,-320.7715005518781,6.381337405136675,6.8105021489957895,0.0616858507529326,1.0
-786.895008444308,24.353839539030623,-317.01375155548084,7.895367876829404,6.843244756827213,0.0693361734959666,1.0
-800.5795351258012,23.919988229318513,-312.0955281589861,8.652950618410422,6.882188686523884,0.06768872968652738,1.0
-811.1881322849465,20.73723243715576,-309.04740928648147,7.492213171861527,6.910441004558573,0.05644547499531308,1.0
-823.09607281824,21.6422221676468,-304.3159053586772,8.600798694390118,6.942915311921066,0.05866489985467425,1.0
-833.4337654071752,25.915936168319263,-300.2717534968909,10.636463142437204,6.9696007398795725,0.06906662127491092,1.0
-841.7434175916201,20.14241308748739,-296.42768956422776,8.686144457720006,6.993116587637494,0.05286700701995106,1.0
-850.2490067833579,22.330706933599355,-291.1397916070392,10.126649335522771,7.017814326968614,0.058027992064220234,1.0
-864.8756565125242,21.61867083956108,-285.67306555447465,10.370983075011475,7.053267024692841,0.05549298255806627,1.0
-871.4370655688732,20.844714349284654,-282.49699955713976,10.595312422865879,7.0700382978009175,0.05368392255584616,1.0
-888.475079795133,21.075130575996415,-273.9176761511319,11.248230660440743,7.1126622161966875,0.05276104486503698,1.0
-895.5804321620573,19.749178501156216,-269.1658417184397,10.533247235258367,7.131981449908184,0.04871596333180424,1.0
-907.6035352168328,23.733768793862527,-260.9962463497215,13.715925868980118,7.163205474700385,0.05815872643156445,1.0
-919.1143546726771,19.538896471061115,-257.600007282155,11.58531509598388,7.186562835365237,0.04735960151533791,1.0
